tanggal,bulan,chatbot_name,channel_name,text
2020-10-10,"Oct 20",Posindo,Line,P
2020-10-12,"Oct 20",Posindo,Line,Kak
2020-10-12,"Oct 20",Posindo,Line,"*pengiriman dari shopee


Saya sudah dikomplain customer saya Ka "
2020-10-12,"Oct 20",Posindo,Line,Test
2020-10-12,"Oct 20",Posindo,Line,"Untuk pengiriman pos kilat lama sekali ya

Padahal sudah dikirim toko tgl 8 sampai sekarang blum sampai"
2020-10-14,"Oct 20",Posindo,Line,"Kalo utk pos indonesia di cempaka putih itu dmn ya?"
2020-10-14,"Oct 20",Posindo,Line,p
2020-10-14,"Oct 20",Posindo,Line,vida
2020-10-15,"Oct 20",Posindo,Line,"Dengan pos indonesia kah?"
2020-10-15,"Oct 20",Posindo,Line,"Tolong info posisi paket atas no resi 18150484421"
2020-10-16,"Oct 20",Posindo,Line,"Mau menanyakan status paket kiriman"
2020-10-16,"Oct 20",Posindo,Line,"saya ingin menanyakan tentang pembelian materai di malaysia"
2020-10-17,"Oct 20",Posindo,Line,"Cipanas puncak"
2020-10-18,"Oct 20",Posindo,Line,"Saya bisa menanyakan status barang saya dan dimana saya bisa amvil?"
2020-10-19,"Oct 20",Posindo,Line,18083773462
2020-10-19,"Oct 20",Posindo,Line,"Apa yang harus saya lakukan dan bagaimana cara saya membayar tax?"
2020-10-19,"Oct 20",Posindo,Line,"ini resi nya"
2020-10-19,"Oct 20",Posindo,Line,"Maaf jangan hanya di read saja tapi ditanggapi keluhan konsumen"
2020-10-19,"Oct 20",Posindo,Line,"Mohon penjelasannya terimakasih"
2020-10-19,"Oct 20",Posindo,Line,"Saya mau complaint"
2020-10-19,"Oct 20",Posindo,Line,Terimakasih
2020-10-19,"Oct 20",Posindo,Line,Tes
2020-10-20,"Oct 20",Posindo,Line,"Bagaimana caranya menghubungi kantor pos untuk mengetahui proses pengantaran paket saya ya?"
2020-10-20,"Oct 20",Posindo,Line,"Kiriman pos saya sejak tanggal 15 oktober sampai saat ini hanya di kantor poa antaran sppjakarta"
2020-10-20,"Oct 20",Posindo,Line,"mohon infonya paket dengan nomor resi CI521942723DE kapan dikirim ? padahal pajaknya sudah dibayar"
2020-10-20,"Oct 20",Posindo,Line,"Saya ingin bertanya apa bisa pengiriman motor"
2020-10-20,"Oct 20",Posindo,Line,"Saya ingin bertanya mengenai kiriman pos"
2020-10-20,"Oct 20",Posindo,Line,"Terima kasih"
2020-10-21,"Oct 20",Posindo,Line,????
2020-10-21,"Oct 20",Posindo,Line,"Sy mau kirim paket kecil ke california, usa"
2020-10-23,"Oct 20",Posindo,Line,Bagaimana
2020-10-23,"Oct 20",Posindo,Line,"Ditrackingnya final delivery"
2020-10-23,"Oct 20",Posindo,Line,"Mohon infromasinya"
2020-10-23,"Oct 20",Posindo,Line,"Paket saya dari Singapura sudah ada keterangan seperti ini tapi sampai sekarang resinya tidak dapat di cek"
2020-10-23,"Oct 20",Posindo,Line,"Saya mau bertanya terkait pengiriman"
2020-10-23,"Oct 20",Posindo,Line,"Tetapi baramg belum sampai"
2020-10-24,"Oct 20",Posindo,Line,ES279335701KR
2020-10-24,"Oct 20",Posindo,Line,"Mohon infonya kak terimakasih "
2020-10-24,"Oct 20",Posindo,Line,q
2020-10-24,"Oct 20",Posindo,Line,"Saya ingin mengetahui lokasi paket saya"
2020-10-25,"Oct 20",Posindo,Line,"Kok lama sekali ya?"
2020-10-28,"Oct 20",Posindo,Line,"Pengaduan antar ulang
Nama : IBUK GUSTI
NO TELP : 081228813392
Alamat : Dusun ndodokan Rt 3 rw 21 desa Tanjungsari sidoarjo 61257
No resi : 60254C1TJ001769
No VA : 70090857720
Barang : Bergo birdong n hitam
Besar uang : 58.000"
2020-10-30,"Oct 20",Posindo,Line,"Dan saya sudah bayar pengiriman juga"
2020-10-30,"Oct 20",Posindo,Line,Gmn
2020-10-30,"Oct 20",Posindo,Line,"Kak "
2020-10-30,"Oct 20",Posindo,Line,"Kok dr kurir nya minta tagihan COD "
2020-10-30,"Oct 20",Posindo,Line,"Saya pengiriman pake pos pembeli sudah bayar "
2020-10-31,"Oct 20",Posindo,Line,Kak
2020-10-31,"Oct 20",Posindo,Line,"Mau daftar jadi agen pos indonesia kemana yah"
2020-10-31,"Oct 20",Posindo,Line,"Mohon infonya paket dr no resi 17750299090"
2020-10-31,"Oct 20",Posindo,Line,"Pkket ini dimana"
